Position,Hand,Hand Type,Recommended Action
BB,J4o,Trash,Fold (unplayable)
CO,QTo,Marginal,"Call if folded to, fold to aggression"
SB,TT,Strong,"Raise, call 3-bet in position"
SB,AJs,Strong,"Raise, call 3-bet in position"
UTG+1,95o,Trash,Fold (unplayable)
BB,A9o,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
MP,A9o,Marginal,Fold (too weak early)
MP,AKs,Premium,Raise (almost always)
CO,AQs,Strong,"Raise, call 3-bet in position"
UTG,98s,Speculative,Fold (not profitable OOP)
BTN,JJ,Strong,"Raise, call 3-bet in position"
UTG+1,J9s,Marginal,Fold (too weak early)
MP,72o,Trash,Fold (unplayable)
BB,87s,Speculative,"Call if no raise, fold to raise"
CO,AKs,Premium,Raise (almost always)
BB,QQ,Premium,Raise (almost always)
HJ,AKs,Premium,Raise (almost always)
HJ,AKs,Premium,Raise (almost always)
BTN,AJs,Strong,"Raise, call 3-bet in position"
SB,A5s,Speculative,"Call if no raise, fold to raise"
UTG,A9o,Marginal,Fold (too weak early)
SB,KJo,Marginal,"Call if folded to, fold to aggression"
HJ,AJs,Strong,"Call, fold to large 3-bet"
HJ,KQs,Strong,"Call, fold to large 3-bet"
HJ,KJo,Marginal,"Call if folded to, fold to aggression"
HJ,AJs,Strong,"Call, fold to large 3-bet"
SB,QQ,Premium,Raise (almost always)
MP,98s,Speculative,Fold (not profitable OOP)
BTN,J4o,Trash,Fold (unplayable)
SB,T9s,Speculative,"Call if no raise, fold to raise"
SB,AJs,Strong,"Raise, call 3-bet in position"
MP,87s,Speculative,Fold (not profitable OOP)
BB,22,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
HJ,87s,Speculative,Fold (not profitable OOP)
MP,T3o,Trash,Fold (unplayable)
MP,95o,Trash,Fold (unplayable)
CO,87s,Speculative,Fold (not profitable OOP)
CO,QQ,Premium,Raise (almost always)
BB,AKs,Premium,Raise (almost always)
SB,T9s,Speculative,"Call if no raise, fold to raise"
UTG+1,KJo,Marginal,Fold (too weak early)
MP,T9s,Speculative,Fold (not profitable OOP)
UTG,83o,Trash,Fold (unplayable)
CO,T3o,Trash,Fold (unplayable)
SB,AA,Premium,Raise (almost always)
SB,J9s,Marginal,"Call if folded to, fold to aggression"
SB,AJs,Strong,"Raise, call 3-bet in position"
MP,A5s,Speculative,Fold (not profitable OOP)
UTG,72o,Trash,Fold (unplayable)
UTG,J4o,Trash,Fold (unplayable)
CO,T9s,Speculative,Fold (not profitable OOP)
UTG+1,T9s,Speculative,Fold (not profitable OOP)
SB,T9s,Speculative,"Call if no raise, fold to raise"
CO,TT,Strong,"Raise, call 3-bet in position"
HJ,T3o,Trash,Fold (unplayable)
SB,83o,Trash,Fold (unplayable)
CO,QTo,Marginal,"Call if folded to, fold to aggression"
HJ,A9o,Marginal,"Call if folded to, fold to aggression"
CO,87s,Speculative,Fold (not profitable OOP)
MP,TT,Strong,"Call, fold to large 3-bet"
CO,T3o,Trash,Fold (unplayable)
UTG+1,KK,Premium,Raise (almost always)
HJ,AKs,Premium,Raise (almost always)
CO,T3o,Trash,Fold (unplayable)
UTG,KK,Premium,Raise (almost always)
UTG,22,Marginal,Fold (too weak early)
UTG,87s,Speculative,Fold (not profitable OOP)
BB,KTs,Speculative,"Call if no raise, fold to raise"
UTG,A9o,Marginal,Fold (too weak early)
CO,KK,Premium,Raise (almost always)
HJ,A5s,Speculative,Fold (not profitable OOP)
UTG+1,83o,Trash,Fold (unplayable)
HJ,T3o,Trash,Fold (unplayable)
CO,72o,Trash,Fold (unplayable)
BB,KQs,Strong,"Call, fold to large 3-bet"
SB,QQ,Premium,Raise (almost always)
MP,95o,Trash,Fold (unplayable)
HJ,KJo,Marginal,"Call if folded to, fold to aggression"
UTG+1,TT,Strong,"Call, fold to large 3-bet"
UTG+1,J4o,Trash,Fold (unplayable)
BTN,AKs,Premium,Raise (almost always)
SB,JJ,Strong,"Raise, call 3-bet in position"
SB,22,Marginal,"Call if folded to, fold to aggression"
MP,AA,Premium,Raise (almost always)
BB,87s,Speculative,"Call if no raise, fold to raise"
HJ,AA,Premium,Raise (almost always)
UTG+1,72o,Trash,Fold (unplayable)
UTG+1,AKs,Premium,Raise (almost always)
BTN,98s,Speculative,"Call if no raise, fold to raise"
MP,KJo,Marginal,Fold (too weak early)
UTG,JJ,Strong,"Call, fold to large 3-bet"
BTN,A9o,Marginal,"Call if folded to, fold to aggression"
CO,QQ,Premium,Raise (almost always)
HJ,QQ,Premium,Raise (almost always)
BB,TT,Strong,"Call, fold to large 3-bet"
UTG,AJs,Strong,"Call, fold to large 3-bet"
BTN,AQs,Strong,"Raise, call 3-bet in position"
UTG,AA,Premium,Raise (almost always)
HJ,J4o,Trash,Fold (unplayable)
BB,AQs,Strong,"Call, fold to large 3-bet"
UTG,AKs,Premium,Raise (almost always)
BB,A5s,Speculative,"Call if no raise, fold to raise"
BB,J9s,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
UTG+1,T9s,Speculative,Fold (not profitable OOP)
MP,KK,Premium,Raise (almost always)
BB,A9o,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
MP,AKs,Premium,Raise (almost always)
MP,QTo,Marginal,Fold (too weak early)
SB,J9s,Marginal,"Call if folded to, fold to aggression"
UTG+1,J4o,Trash,Fold (unplayable)
BB,KK,Premium,Raise (almost always)
UTG,22,Marginal,Fold (too weak early)
BTN,87s,Speculative,"Call if no raise, fold to raise"
SB,83o,Trash,Fold (unplayable)
UTG,QQ,Premium,Raise (almost always)
BB,TT,Strong,"Call, fold to large 3-bet"
UTG,AQs,Strong,"Call, fold to large 3-bet"
SB,A5s,Speculative,"Call if no raise, fold to raise"
HJ,QTo,Marginal,"Call if folded to, fold to aggression"
UTG,T3o,Trash,Fold (unplayable)
UTG+1,J9s,Marginal,Fold (too weak early)
CO,83o,Trash,Fold (unplayable)
HJ,KJo,Marginal,"Call if folded to, fold to aggression"
HJ,QTo,Marginal,"Call if folded to, fold to aggression"
MP,72o,Trash,Fold (unplayable)
BB,83o,Trash,Fold (unplayable)
CO,A5s,Speculative,Fold (not profitable OOP)
MP,22,Marginal,Fold (too weak early)
BTN,KJo,Marginal,"Call if folded to, fold to aggression"
HJ,KTs,Speculative,Fold (not profitable OOP)
UTG,83o,Trash,Fold (unplayable)
HJ,KQs,Strong,"Call, fold to large 3-bet"
BB,J4o,Trash,Fold (unplayable)
BB,72o,Trash,Fold (unplayable)
UTG,KK,Premium,Raise (almost always)
CO,J4o,Trash,Fold (unplayable)
SB,JJ,Strong,"Raise, call 3-bet in position"
UTG,98s,Speculative,Fold (not profitable OOP)
HJ,TT,Strong,"Call, fold to large 3-bet"
HJ,T9s,Speculative,Fold (not profitable OOP)
UTG,AQs,Strong,"Call, fold to large 3-bet"
CO,AA,Premium,Raise (almost always)
CO,KTs,Speculative,Fold (not profitable OOP)
UTG+1,KQs,Strong,"Call, fold to large 3-bet"
MP,A9o,Marginal,Fold (too weak early)
CO,KQs,Strong,"Raise, call 3-bet in position"
BTN,T9s,Speculative,"Call if no raise, fold to raise"
UTG+1,KQs,Strong,"Call, fold to large 3-bet"
UTG+1,AJs,Strong,"Call, fold to large 3-bet"
CO,AKs,Premium,Raise (almost always)
CO,AA,Premium,Raise (almost always)
HJ,98s,Speculative,Fold (not profitable OOP)
BTN,A9o,Marginal,"Call if folded to, fold to aggression"
BB,98s,Speculative,"Call if no raise, fold to raise"
HJ,AA,Premium,Raise (almost always)
CO,J9s,Marginal,"Call if folded to, fold to aggression"
UTG+1,QTo,Marginal,Fold (too weak early)
BTN,J4o,Trash,Fold (unplayable)
UTG+1,95o,Trash,Fold (unplayable)
BTN,AQs,Strong,"Raise, call 3-bet in position"
CO,AA,Premium,Raise (almost always)
SB,J9s,Marginal,"Call if folded to, fold to aggression"
BB,QQ,Premium,Raise (almost always)
UTG+1,KQs,Strong,"Call, fold to large 3-bet"
UTG,87s,Speculative,Fold (not profitable OOP)
UTG,T9s,Speculative,Fold (not profitable OOP)
MP,J4o,Trash,Fold (unplayable)
HJ,AJs,Strong,"Call, fold to large 3-bet"
SB,83o,Trash,Fold (unplayable)
HJ,KK,Premium,Raise (almost always)
MP,95o,Trash,Fold (unplayable)
UTG,AQs,Strong,"Call, fold to large 3-bet"
MP,AA,Premium,Raise (almost always)
MP,A5s,Speculative,Fold (not profitable OOP)
BTN,KK,Premium,Raise (almost always)
SB,AJs,Strong,"Raise, call 3-bet in position"
HJ,AA,Premium,Raise (almost always)
BB,83o,Trash,Fold (unplayable)
CO,83o,Trash,Fold (unplayable)
CO,KQs,Strong,"Raise, call 3-bet in position"
MP,AA,Premium,Raise (almost always)
CO,AQs,Strong,"Raise, call 3-bet in position"
UTG,AJs,Strong,"Call, fold to large 3-bet"
HJ,87s,Speculative,Fold (not profitable OOP)
UTG,KJo,Marginal,Fold (too weak early)
UTG+1,KQs,Strong,"Call, fold to large 3-bet"
MP,AQs,Strong,"Call, fold to large 3-bet"
BTN,JJ,Strong,"Raise, call 3-bet in position"
MP,KTs,Speculative,Fold (not profitable OOP)
SB,AA,Premium,Raise (almost always)
CO,AJs,Strong,"Raise, call 3-bet in position"
MP,AA,Premium,Raise (almost always)
HJ,22,Marginal,"Call if folded to, fold to aggression"
SB,A5s,Speculative,"Call if no raise, fold to raise"
HJ,KJo,Marginal,"Call if folded to, fold to aggression"
SB,87s,Speculative,"Call if no raise, fold to raise"
UTG+1,AA,Premium,Raise (almost always)
HJ,QQ,Premium,Raise (almost always)
CO,T3o,Trash,Fold (unplayable)
MP,A9o,Marginal,Fold (too weak early)
UTG+1,J9s,Marginal,Fold (too weak early)
HJ,A5s,Speculative,Fold (not profitable OOP)
UTG,AKs,Premium,Raise (almost always)
BTN,JJ,Strong,"Raise, call 3-bet in position"
UTG+1,QTo,Marginal,Fold (too weak early)
UTG,87s,Speculative,Fold (not profitable OOP)
HJ,JJ,Strong,"Call, fold to large 3-bet"
SB,KK,Premium,Raise (almost always)
MP,KK,Premium,Raise (almost always)
CO,83o,Trash,Fold (unplayable)
UTG+1,KK,Premium,Raise (almost always)
BTN,QQ,Premium,Raise (almost always)
UTG,J9s,Marginal,Fold (too weak early)
BTN,JJ,Strong,"Raise, call 3-bet in position"
HJ,T3o,Trash,Fold (unplayable)
UTG+1,83o,Trash,Fold (unplayable)
UTG+1,87s,Speculative,Fold (not profitable OOP)
MP,83o,Trash,Fold (unplayable)
SB,J4o,Trash,Fold (unplayable)
UTG,AQs,Strong,"Call, fold to large 3-bet"
BTN,KTs,Speculative,"Call if no raise, fold to raise"
CO,22,Marginal,"Call if folded to, fold to aggression"
UTG+1,AQs,Strong,"Call, fold to large 3-bet"
CO,83o,Trash,Fold (unplayable)
MP,KQs,Strong,"Call, fold to large 3-bet"
SB,A9o,Marginal,"Call if folded to, fold to aggression"
MP,AQs,Strong,"Call, fold to large 3-bet"
HJ,AQs,Strong,"Call, fold to large 3-bet"
MP,72o,Trash,Fold (unplayable)
BB,KTs,Speculative,"Call if no raise, fold to raise"
MP,KQs,Strong,"Call, fold to large 3-bet"
SB,AQs,Strong,"Raise, call 3-bet in position"
UTG+1,AKs,Premium,Raise (almost always)
CO,JJ,Strong,"Raise, call 3-bet in position"
MP,T9s,Speculative,Fold (not profitable OOP)
BB,83o,Trash,Fold (unplayable)
BB,98s,Speculative,"Call if no raise, fold to raise"
HJ,87s,Speculative,Fold (not profitable OOP)
CO,AJs,Strong,"Raise, call 3-bet in position"
BB,83o,Trash,Fold (unplayable)
SB,J4o,Trash,Fold (unplayable)
MP,KK,Premium,Raise (almost always)
HJ,A9o,Marginal,"Call if folded to, fold to aggression"
BB,83o,Trash,Fold (unplayable)
BTN,AQs,Strong,"Raise, call 3-bet in position"
MP,QTo,Marginal,Fold (too weak early)
MP,KK,Premium,Raise (almost always)
SB,J4o,Trash,Fold (unplayable)
SB,72o,Trash,Fold (unplayable)
SB,22,Marginal,"Call if folded to, fold to aggression"
BTN,J9s,Marginal,"Call if folded to, fold to aggression"
BB,83o,Trash,Fold (unplayable)
BTN,AJs,Strong,"Raise, call 3-bet in position"
CO,QTo,Marginal,"Call if folded to, fold to aggression"
MP,A9o,Marginal,Fold (too weak early)
SB,AJs,Strong,"Raise, call 3-bet in position"
BB,87s,Speculative,"Call if no raise, fold to raise"
MP,72o,Trash,Fold (unplayable)
CO,95o,Trash,Fold (unplayable)
BTN,QTo,Marginal,"Call if folded to, fold to aggression"
SB,KQs,Strong,"Raise, call 3-bet in position"
BB,TT,Strong,"Call, fold to large 3-bet"
HJ,72o,Trash,Fold (unplayable)
UTG,98s,Speculative,Fold (not profitable OOP)
BB,JJ,Strong,"Call, fold to large 3-bet"
BTN,87s,Speculative,"Call if no raise, fold to raise"
HJ,KK,Premium,Raise (almost always)
SB,22,Marginal,"Call if folded to, fold to aggression"
UTG+1,KK,Premium,Raise (almost always)
SB,KQs,Strong,"Raise, call 3-bet in position"
BTN,QQ,Premium,Raise (almost always)
BTN,AKs,Premium,Raise (almost always)
HJ,AQs,Strong,"Call, fold to large 3-bet"
UTG,QTo,Marginal,Fold (too weak early)
CO,AQs,Strong,"Raise, call 3-bet in position"
UTG+1,QQ,Premium,Raise (almost always)
CO,KK,Premium,Raise (almost always)
BTN,J4o,Trash,Fold (unplayable)
BTN,KK,Premium,Raise (almost always)
UTG,87s,Speculative,Fold (not profitable OOP)
SB,AA,Premium,Raise (almost always)
HJ,98s,Speculative,Fold (not profitable OOP)
UTG+1,T9s,Speculative,Fold (not profitable OOP)
BTN,AQs,Strong,"Raise, call 3-bet in position"
BTN,A9o,Marginal,"Call if folded to, fold to aggression"
CO,TT,Strong,"Raise, call 3-bet in position"
UTG,KK,Premium,Raise (almost always)
MP,KK,Premium,Raise (almost always)
UTG,AA,Premium,Raise (almost always)
CO,T9s,Speculative,Fold (not profitable OOP)
UTG,KK,Premium,Raise (almost always)
BTN,T9s,Speculative,"Call if no raise, fold to raise"
SB,TT,Strong,"Raise, call 3-bet in position"
HJ,72o,Trash,Fold (unplayable)
CO,AQs,Strong,"Raise, call 3-bet in position"
MP,KTs,Speculative,Fold (not profitable OOP)
UTG,AA,Premium,Raise (almost always)
UTG+1,87s,Speculative,Fold (not profitable OOP)
SB,AQs,Strong,"Raise, call 3-bet in position"
BTN,22,Marginal,"Call if folded to, fold to aggression"
CO,KJo,Marginal,"Call if folded to, fold to aggression"
CO,KQs,Strong,"Raise, call 3-bet in position"
BTN,J9s,Marginal,"Call if folded to, fold to aggression"
MP,KJo,Marginal,Fold (too weak early)
MP,83o,Trash,Fold (unplayable)
HJ,KQs,Strong,"Call, fold to large 3-bet"
MP,QTo,Marginal,Fold (too weak early)
HJ,AJs,Strong,"Call, fold to large 3-bet"
UTG+1,22,Marginal,Fold (too weak early)
HJ,KTs,Speculative,Fold (not profitable OOP)
BB,AA,Premium,Raise (almost always)
HJ,83o,Trash,Fold (unplayable)
BTN,KJo,Marginal,"Call if folded to, fold to aggression"
UTG,KK,Premium,Raise (almost always)
HJ,KTs,Speculative,Fold (not profitable OOP)
UTG+1,JJ,Strong,"Call, fold to large 3-bet"
BTN,J9s,Marginal,"Call if folded to, fold to aggression"
UTG+1,KTs,Speculative,Fold (not profitable OOP)
UTG+1,JJ,Strong,"Call, fold to large 3-bet"
BB,TT,Strong,"Call, fold to large 3-bet"
HJ,98s,Speculative,Fold (not profitable OOP)
SB,AKs,Premium,Raise (almost always)
CO,72o,Trash,Fold (unplayable)
BTN,AJs,Strong,"Raise, call 3-bet in position"
HJ,KTs,Speculative,Fold (not profitable OOP)
SB,AA,Premium,Raise (almost always)
BB,87s,Speculative,"Call if no raise, fold to raise"
BTN,QTo,Marginal,"Call if folded to, fold to aggression"
UTG+1,95o,Trash,Fold (unplayable)
UTG,T9s,Speculative,Fold (not profitable OOP)
CO,JJ,Strong,"Raise, call 3-bet in position"
MP,22,Marginal,Fold (too weak early)
HJ,AJs,Strong,"Call, fold to large 3-bet"
UTG+1,22,Marginal,Fold (too weak early)
HJ,KK,Premium,Raise (almost always)
BB,AA,Premium,Raise (almost always)
UTG,83o,Trash,Fold (unplayable)
UTG,KTs,Speculative,Fold (not profitable OOP)
UTG,KJo,Marginal,Fold (too weak early)
CO,A9o,Marginal,"Call if folded to, fold to aggression"
HJ,AKs,Premium,Raise (almost always)
CO,98s,Speculative,Fold (not profitable OOP)
SB,95o,Trash,Fold (unplayable)
BTN,J9s,Marginal,"Call if folded to, fold to aggression"
BTN,J4o,Trash,Fold (unplayable)
UTG,87s,Speculative,Fold (not profitable OOP)
CO,98s,Speculative,Fold (not profitable OOP)
HJ,AJs,Strong,"Call, fold to large 3-bet"
MP,A9o,Marginal,Fold (too weak early)
HJ,22,Marginal,"Call if folded to, fold to aggression"
BTN,KQs,Strong,"Raise, call 3-bet in position"
MP,72o,Trash,Fold (unplayable)
BTN,AA,Premium,Raise (almost always)
BTN,AKs,Premium,Raise (almost always)
UTG+1,J4o,Trash,Fold (unplayable)
HJ,AA,Premium,Raise (almost always)
SB,KJo,Marginal,"Call if folded to, fold to aggression"
CO,QTo,Marginal,"Call if folded to, fold to aggression"
UTG+1,T9s,Speculative,Fold (not profitable OOP)
UTG+1,KJo,Marginal,Fold (too weak early)
BTN,98s,Speculative,"Call if no raise, fold to raise"
BTN,QQ,Premium,Raise (almost always)
HJ,AQs,Strong,"Call, fold to large 3-bet"
SB,98s,Speculative,"Call if no raise, fold to raise"
BB,J9s,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
MP,JJ,Strong,"Call, fold to large 3-bet"
HJ,T3o,Trash,Fold (unplayable)
HJ,95o,Trash,Fold (unplayable)
SB,AKs,Premium,Raise (almost always)
BTN,KQs,Strong,"Raise, call 3-bet in position"
CO,T3o,Trash,Fold (unplayable)
CO,87s,Speculative,Fold (not profitable OOP)
BTN,J4o,Trash,Fold (unplayable)
HJ,AA,Premium,Raise (almost always)
BTN,AA,Premium,Raise (almost always)
SB,QTo,Marginal,"Call if folded to, fold to aggression"
BB,KK,Premium,Raise (almost always)
UTG,AA,Premium,Raise (almost always)
UTG+1,72o,Trash,Fold (unplayable)
UTG,TT,Strong,"Call, fold to large 3-bet"
CO,87s,Speculative,Fold (not profitable OOP)
CO,JJ,Strong,"Raise, call 3-bet in position"
BTN,T9s,Speculative,"Call if no raise, fold to raise"
UTG,KK,Premium,Raise (almost always)
BB,J4o,Trash,Fold (unplayable)
BB,A5s,Speculative,"Call if no raise, fold to raise"
CO,AA,Premium,Raise (almost always)
UTG,QQ,Premium,Raise (almost always)
BB,T9s,Speculative,"Call if no raise, fold to raise"
CO,J9s,Marginal,"Call if folded to, fold to aggression"
HJ,83o,Trash,Fold (unplayable)
UTG,A5s,Speculative,Fold (not profitable OOP)
UTG+1,T9s,Speculative,Fold (not profitable OOP)
MP,87s,Speculative,Fold (not profitable OOP)
CO,95o,Trash,Fold (unplayable)
MP,T9s,Speculative,Fold (not profitable OOP)
MP,AKs,Premium,Raise (almost always)
UTG,KJo,Marginal,Fold (too weak early)
BB,98s,Speculative,"Call if no raise, fold to raise"
UTG,KTs,Speculative,Fold (not profitable OOP)
BB,95o,Trash,Fold (unplayable)
CO,J4o,Trash,Fold (unplayable)
SB,AJs,Strong,"Raise, call 3-bet in position"
BB,KK,Premium,Raise (almost always)
MP,KTs,Speculative,Fold (not profitable OOP)
MP,QQ,Premium,Raise (almost always)
CO,AQs,Strong,"Raise, call 3-bet in position"
BTN,AA,Premium,Raise (almost always)
UTG,87s,Speculative,Fold (not profitable OOP)
CO,87s,Speculative,Fold (not profitable OOP)
CO,A9o,Marginal,"Call if folded to, fold to aggression"
SB,A5s,Speculative,"Call if no raise, fold to raise"
MP,T9s,Speculative,Fold (not profitable OOP)
MP,KQs,Strong,"Call, fold to large 3-bet"
BB,TT,Strong,"Call, fold to large 3-bet"
MP,AQs,Strong,"Call, fold to large 3-bet"
SB,KK,Premium,Raise (almost always)
BB,AA,Premium,Raise (almost always)
SB,KJo,Marginal,"Call if folded to, fold to aggression"
MP,JJ,Strong,"Call, fold to large 3-bet"
MP,72o,Trash,Fold (unplayable)
BTN,87s,Speculative,"Call if no raise, fold to raise"
MP,AKs,Premium,Raise (almost always)
BB,KK,Premium,Raise (almost always)
HJ,T3o,Trash,Fold (unplayable)
UTG+1,87s,Speculative,Fold (not profitable OOP)
CO,98s,Speculative,Fold (not profitable OOP)
UTG,QQ,Premium,Raise (almost always)
CO,AKs,Premium,Raise (almost always)
MP,KK,Premium,Raise (almost always)
BB,22,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
HJ,AQs,Strong,"Call, fold to large 3-bet"
HJ,J9s,Marginal,"Call if folded to, fold to aggression"
HJ,QQ,Premium,Raise (almost always)
BB,A5s,Speculative,"Call if no raise, fold to raise"
SB,KQs,Strong,"Raise, call 3-bet in position"
UTG+1,J9s,Marginal,Fold (too weak early)
SB,87s,Speculative,"Call if no raise, fold to raise"
UTG,AJs,Strong,"Call, fold to large 3-bet"
UTG+1,72o,Trash,Fold (unplayable)
MP,KTs,Speculative,Fold (not profitable OOP)
BTN,TT,Strong,"Raise, call 3-bet in position"
HJ,KQs,Strong,"Call, fold to large 3-bet"
SB,72o,Trash,Fold (unplayable)
BB,TT,Strong,"Call, fold to large 3-bet"
UTG,87s,Speculative,Fold (not profitable OOP)
HJ,KK,Premium,Raise (almost always)
MP,AA,Premium,Raise (almost always)
SB,KQs,Strong,"Raise, call 3-bet in position"
CO,J9s,Marginal,"Call if folded to, fold to aggression"
HJ,JJ,Strong,"Call, fold to large 3-bet"
HJ,TT,Strong,"Call, fold to large 3-bet"
HJ,AQs,Strong,"Call, fold to large 3-bet"
MP,T9s,Speculative,Fold (not profitable OOP)
HJ,A9o,Marginal,"Call if folded to, fold to aggression"
SB,98s,Speculative,"Call if no raise, fold to raise"
CO,TT,Strong,"Raise, call 3-bet in position"
UTG+1,83o,Trash,Fold (unplayable)
BTN,A5s,Speculative,"Call if no raise, fold to raise"
CO,83o,Trash,Fold (unplayable)
HJ,QQ,Premium,Raise (almost always)
BB,AA,Premium,Raise (almost always)
UTG,KJo,Marginal,Fold (too weak early)
SB,95o,Trash,Fold (unplayable)
SB,87s,Speculative,"Call if no raise, fold to raise"
UTG+1,TT,Strong,"Call, fold to large 3-bet"
UTG+1,KK,Premium,Raise (almost always)
BTN,KQs,Strong,"Raise, call 3-bet in position"
SB,J4o,Trash,Fold (unplayable)
UTG,95o,Trash,Fold (unplayable)
UTG+1,KTs,Speculative,Fold (not profitable OOP)
SB,T3o,Trash,Fold (unplayable)
CO,JJ,Strong,"Raise, call 3-bet in position"
UTG,T9s,Speculative,Fold (not profitable OOP)
SB,AKs,Premium,Raise (almost always)
BB,TT,Strong,"Call, fold to large 3-bet"
BTN,AKs,Premium,Raise (almost always)
CO,AA,Premium,Raise (almost always)
MP,87s,Speculative,Fold (not profitable OOP)
UTG+1,KQs,Strong,"Call, fold to large 3-bet"
UTG+1,83o,Trash,Fold (unplayable)
BB,AA,Premium,Raise (almost always)
HJ,JJ,Strong,"Call, fold to large 3-bet"
BTN,QQ,Premium,Raise (almost always)
BB,AA,Premium,Raise (almost always)
MP,AA,Premium,Raise (almost always)
BTN,J4o,Trash,Fold (unplayable)
HJ,T9s,Speculative,Fold (not profitable OOP)
SB,T9s,Speculative,"Call if no raise, fold to raise"
UTG+1,QQ,Premium,Raise (almost always)
HJ,JJ,Strong,"Call, fold to large 3-bet"
HJ,JJ,Strong,"Call, fold to large 3-bet"
SB,KJo,Marginal,"Call if folded to, fold to aggression"
MP,72o,Trash,Fold (unplayable)
SB,22,Marginal,"Call if folded to, fold to aggression"
BB,AQs,Strong,"Call, fold to large 3-bet"
MP,TT,Strong,"Call, fold to large 3-bet"
SB,A9o,Marginal,"Call if folded to, fold to aggression"
MP,J9s,Marginal,Fold (too weak early)
UTG+1,22,Marginal,Fold (too weak early)
UTG,A9o,Marginal,Fold (too weak early)
MP,AKs,Premium,Raise (almost always)
UTG,QTo,Marginal,Fold (too weak early)
UTG+1,AQs,Strong,"Call, fold to large 3-bet"
BB,T3o,Trash,Fold (unplayable)
BB,A9o,Marginal,"Call if limped, fold to raise unless deep vs weak opponent"
BTN,J4o,Trash,Fold (unplayable)
CO,AA,Premium,Raise (almost always)
BB,T3o,Trash,Fold (unplayable)
UTG,KJo,Marginal,Fold (too weak early)
CO,A9o,Marginal,"Call if folded to, fold to aggression"
UTG+1,22,Marginal,Fold (too weak early)
UTG,KJo,Marginal,Fold (too weak early)
UTG,A9o,Marginal,Fold (too weak early)
HJ,95o,Trash,Fold (unplayable)
UTG,T9s,Speculative,Fold (not profitable OOP)
UTG,A9o,Marginal,Fold (too weak early)
UTG,87s,Speculative,Fold (not profitable OOP)
HJ,A9o,Marginal,"Call if folded to, fold to aggression"
UTG,A5s,Speculative,Fold (not profitable OOP)
SB,QTo,Marginal,"Call if folded to, fold to aggression"
UTG,AQs,Strong,"Call, fold to large 3-bet"
